case_id,symptom,topology_note,show_outputs,expected_fault,expected_osi_layer,concept_tag,severity
CASE-018,Web traffic from internet is blocked,Edge Router,"--- show ip access-lists ---\n\nExtended IP access list OUTSIDE_IN\n    10 permit tcp any any eq 80\n    20 permit tcp any any eq 443\n\n--- show run interface Serial0/0/0 ---\n\ninterface Serial0/0/0\n ip address 203.0.113.2 255.255.255.252\n ip access-group OUTSIDE_IN out",ACL applied in wrong direction,Layer 4,ACL,High
CASE-019,SSH access to router from LAN is failing,Router VTY lines,"--- show access-lists ---\n\nStandard IP access list 5\n    10 deny 192.168.1.50\n    20 permit 192.168.1.0, wildcard bits 0.0.0.255\n\n--- show run | begin line vty ---\n\nline vty 0 4\n login local\n transport input ssh\n access-class 10 in",VTY lines applying non-existent ACL 10,Layer 4,ACL,Medium
CASE-020,All internet traffic blocked for users,Router inside interface,"--- show access-lists ---\n\nExtended IP access list 100\n    10 deny ip any any\n    20 permit ip 192.168.1.0 0.0.0.255 any\n\n--- show run interface Fa0/0 ---\n\ninterface FastEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n ip access-group 100 in",ACL permit deny logic error deny any placed before permit,Layer 4,ACL,High
CASE-021,Internal PCs cannot access internet,NAT edge router,"--- show ip nat translations ---\n\n\n--- show run interface Fa0/0 ---\n\ninterface FastEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n\n--- show run interface Serial0/0/0 ---\n\ninterface Serial0/0/0\n ip address 203.0.113.1 255.255.255.252\n ip nat outside",Missing ip nat inside on internal interface,Layer 3,NAT,High
CASE-022,Only one PC can access the internet at a time,NAT overload edge router,"--- show run | include ip nat ---\n\nip nat inside source list 1 interface Serial0/0/0\n\n--- show access-lists 1 ---\n\nStandard IP access list 1\n    10 permit 192.168.1.0, wildcard bits 0.0.0.255",Missing overload keyword in NAT statement for PAT,Layer 4,NAT,High
CASE-023,Port forwarding to internal web server fails,NAT edge router,"--- show ip nat translations ---\n\nPro Inside global      Inside local       Outside local      Outside global\ntcp 203.0.113.2:80     192.168.1.10:8080  ---                ---\n\n--- show run | include ip nat inside source static ---\n\nip nat inside source static tcp 192.168.1.10 8080 203.0.113.2 80",NAT static port mapping uses wrong internal port or IP,Layer 4,NAT,Medium
CASE-024,NAT not translating traffic for VLAN 20,Router with multiple internal subnets,"--- show run | include ip nat ---\n\nip nat inside source list 1 interface Serial0/0/0 overload\n\n--- show access-lists 1 ---\n\nStandard IP access list 1\n    10 permit 192.168.10.0, wildcard bits 0.0.0.255",Access list 1 does not include VLAN 20 subnet for NAT,Layer 3,NAT,High
CASE-025,Laptops cannot connect to wireless network,Wireless Router/WLC,"--- show wlan summary ---\n\nNumber of WLANs.................................. 1\n\nWLAN ID  WLAN Profile Name / SSID               Status    Interface Name\n-------  -------------------------------------  --------  --------------------\n1        CorpWLAN / CorpWLAN                    Disabled  management",WLAN is administratively disabled,Layer 2,Wireless,High
CASE-026,Wireless clients frequently disconnect,WLC with APs,"--- show ap auto-rf 802.11b ---\n\nAP Name             MAC Address       Slot  Admin State  Oper State  Channel  TxPower\n------------------  ----------------- ----  -----------  ----------  -------  -------\nAP-1                0011.2233.4455    0     ENABLED      UP          6        1\nAP-2                0011.2233.4466    0     ENABLED      UP          6        1",Co-channel interference,Layer 1,Wireless,Medium
CASE-027,Laptops connect but get no IP address,Wireless network with external DHCP,"--- show interface dot11Radio 0 ---\n\nDot11Radio0 is up, line protocol is up\n\n--- show run interface BVI1 ---\n\ninterface BVI1\n ip address 192.168.1.2 255.255.255.0",Missing ip helper-address on BVI interface for DHCP relay,Layer 3,Wireless,High
CASE-028,Cannot associate with SSID,Wireless client configuration,"--- show wlan 1 ---\n\nWLAN Identifier.................................. 1\nProfile Name..................................... Guest\nSSID............................................. Guest_Net\nSecurity\n   802.11 Authentication:........................ Open\n   WPA2 Policy:.................................. Enabled\n      WPA2 Encryption:........................... AES",Security mismatch between client and AP,Layer 2,Wireless,High
CASE-029,PC cannot reach default gateway,Directly connected to switch,"--- show ip interface brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nFastEthernet0/1            unassigned      YES unset  down                  down\nFastEthernet0/2            unassigned      YES unset  up                    up",Cable disconnected or faulty,Layer 1,Interface,High
CASE-030,Router serial link to ISP is down,Serial connection,"--- show interfaces Serial0/0/0 ---\n\nSerial0/0/0 is administratively down, line protocol is down\n  Hardware is GT96K Serial\n  Internet address is 10.1.1.1/30",Interface is administratively shut down,Layer 1,Interface,High
CASE-031,Poor performance and collisions on switch port,PC connected to switch,"--- show interfaces Fa0/1 ---\n\nFastEthernet0/1 is up, line protocol is up\n  Half-duplex, 100Mb/s, media type is 10/100BaseTX\n  0 packets input, 0 bytes\n  Received 1000 broadcasts (0 multicasts)\n  0 runts, 0 giants, 0 throttles\n  100 input errors, 0 CRC, 0 frame, 0 overrun, 0 ignored\n  0 watchdog, 0 multicast, 0 pause input\n  0 input packets with dribble condition detected\n  2000 packets output, 150000 bytes, 0 underruns\n  0 output errors, 1000 collisions, 1 interface resets",Duplex mismatch,Layer 1,Interface,Medium
CASE-032,Router interface failing to bring up routing protocol,Router connected to switch,"--- show ip interface brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nGigabitEthernet0/0         192.168.1.1     YES manual up                    up\n\n--- ping 192.168.1.2 ---\n\nSuccess rate is 0 percent (0/5)\n\n--- show run interface GigabitEthernet0/0 ---\n\ninterface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.224",Incorrect subnet mask configured,Layer 3,Interface,Medium
CASE-033,Native VLAN mismatch causing traffic leakage between switches,2 Switches connected on trunk Gi0/1,"--- show interfaces trunk ---\n\nPort        Mode         Encapsulation  Status        Native vlan\nGi0/1       on           802.1q         trunking      1\n\n--- show logging ---\n\n%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with Switch2 GigabitEthernet0/1 (99).",Native VLAN mismatch between trunk interfaces,Layer 2,VLAN,High
CASE-034,Traffic between department switches loops and saturates bandwidth,Redundant dual switch links,"--- show spanning-tree summary ---\n\nSwitch is in pvst mode\nRoot bridge for: none\n\n--- show spanning-tree interface Gi0/2 ---\n\nPort Gi0/2 (GigabitEthernet0/2) of VLAN0001 is forwarding\n  Port path cost 4, Port priority 128, Port Identifier 128.2\n  Designated root has priority 32769\n\n--- show run | include spanning-tree ---\n\nno spanning-tree vlan 1-4094",Spanning Tree Protocol disabled globally causing layer 2 switching loop,Layer 2,VLAN,High
CASE-035,OSPF neighbors stuck in INIT/EXSTART state,Two routers connected on point-to-point link,"--- show ip ospf neighbor ---\n\nNeighbor ID     Pri   State           Dead Time   Address         Interface\n192.168.12.2      1   INIT/DROTHER    00:00:34    10.0.0.2        GigabitEthernet0/1\n\n--- show ip ospf interface Gi0/1 ---\n\nGigabitEthernet0/1 is up, line protocol is up\n  Internet Address 10.0.0.1/30, Area 0\n  Timer intervals configured, Hello 10, Dead 40\n\n--- show run interface Gi0/1 on R2 ---\n\ninterface GigabitEthernet0/1\n ip address 10.0.0.2 255.255.255.252\n ip ospf 1 area 1",OSPF Area ID mismatch between R1 (Area 0) and R2 (Area 1),Layer 3,Routing,High
CASE-036,Branch router stops learning OSPF routes from HQ,Edge branch router,"--- show ip ospf interface ---\n\nGigabitEthernet0/0 is up, line protocol is up\n  Internet Address 172.16.1.1/30, Area 0\n  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST\n  No hellos (Passive interface)\n\n--- show run | section router ospf ---\n\nrouter ospf 1\n passive-interface GigabitEthernet0/0\n network 172.16.1.0 0.0.0.3 area 0",Passive-interface enabled on WAN link preventing OSPF adjacency,Layer 3,Routing,High
CASE-037,Clients behind access switch fail to receive DHCP leases,Access switch with DHCP snooping,"--- show ip dhcp snooping ---\n\nSwitch DHCP snooping is enabled\nDHCP snooping is configured on following VLANs: 10,20\n\n--- show ip dhcp snooping binding ---\n\nTotal number of bindings: 0\n\n--- show interfaces Gi0/1 switchport ---\n\nInterface Gi0/1 (Uplink to DHCP Server)\n  DHCP Snooping Trust: Untrusted",DHCP snooping uplink port to server is set to untrusted,Layer 2,DHCP,High
CASE-038,Marketing PC unable to access web server due to ACL typo,Router inside LAN interface,"--- show access-lists ---\n\nExtended IP access list ACL_WEB_ONLY\n    10 permit tcp 192.168.10.0 0.0.0.255 10.0.0.0 0.0.0.255 eq www\n    20 permit tcp 192.168.10.0 0.0.0.255 10.0.0.0 0.0.0.255 eq 443\n\n--- show run interface Gi0/0 ---\n\ninterface GigabitEthernet0/0\n ip address 192.168.10.1 255.255.255.0\n ip access-group ACL_WEB_FILTER in",Interface refers to non-existent access-group name ACL_WEB_FILTER,Layer 4,ACL,Medium
CASE-039,After 10 users connect additional users lose internet access,NAT edge router with dynamic pool,"--- show ip nat statistics ---\n\nTotal active translations: 10 (0 static, 10 dynamic; 0 extended)\nOutside interfaces: Serial0/0/0\nInside interfaces: GigabitEthernet0/0\nHits: 4502  Misses: 184\nExpired translations: 0\nDynamic mappings:\n-- Inside Source\naccess-list 1 pool PUBLIC_POOL refcount 10\n pool PUBLIC_POOL: netmask 255.255.255.240\n  start 203.0.113.1 end 203.0.113.10\n  type generic, total addresses 10, allocated 10 (100%), misses 184\n\n--- show run | include ip nat inside source ---\n\nip nat inside source list 1 pool PUBLIC_POOL",NAT pool exhausted due to missing overload keyword for PAT,Layer 3,NAT,High
CASE-040,Large file transfers and jumbo pings drop across router link,GRE tunnel across WAN,"--- show interfaces Tunnel0 ---\n\nTunnel0 is up, line protocol is up\n  Hardware is Tunnel\n  Internet address is 10.10.10.1/30\n  Tunnel source 203.0.113.1, destination 203.0.113.2\n  MTU 1476 bytes, BW 1000 Kbit/sec\n\n--- ping 10.10.10.2 size 1500 df-bit ---\n\nType escape sequence to abort.\nSending 5, 1500-byte ICMP Echos to 10.10.10.2, timeout is 2 seconds:\nPacket sent with the DF bit set\n.....\nSuccess rate is 0 percent (0/5)\n\n--- show run interface Tunnel0 ---\n\ninterface Tunnel0\n ip address 10.10.10.1 255.255.255.252\n ip mtu 1500",MTU size mismatch exceeding tunnel packet size with DF bit set,Layer 3,Interface,Medium

